21	319	tt0181852	Терминатор 3: Восстание машин	Terminator 3: Rise of the Machines	/static/media/images/2003/319/postr-2024-04-13-20-20-36.jpg	terminator-3-vosstanie-mashin-21	5	17	19	1	20	The Machines Will Rise	Прошло десять лет с тех пор, как Джон Коннор помог предотвратить Судный День и спасти человечество от массового уничтожения. Теперь ему 25, Коннор не живет «как все» - у него нет дома, нет кредитных карт, нет сотового телефона и никакой работы.\n\nЕго существование нигде не зарегистрировано. Он не может быть прослежен системой Skynet - высокоразвитой сетью машин, которые когда-то попробовали убить его и развязать войну против человечества. Пока из теней будущего не появляется T-X - Терминатрикс, самый сложный киборг-убийца Skynet.\n\nПосланная назад сквозь время, чтобы завершить работу, начатую её предшественником, T-1000, эта машина так же упорна, как прекрасен её человеческий облик. Теперь единственная надежда Коннору выжить - Терминатор, его таинственный прежний убийца. Вместе они должны одержать победу над новыми технологиями T-X и снова предотвратить Судный День...	Джон Коннор противостоит новому киборгу и техно-апокалипсису. В режиссерском кресле — Джонатан Мостоу	1	2	2024-02-28 18:25:37.456183	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 20:20:42.837536	\N
22	320	tt0307901	25-й час	25th Hour	/static/media/images/2002/320/postr-2024-04-13-21-17-40.jpg	25-i-chas-22	16	18	11	3	21	This life was so close to never happening	В фильме описывается последний день свободной жизни молодого бруклинца Монти Брогана (Эдвард Нортон), осужденного на семь лет тюрьмы за торговлю наркотиками. Оставшиеся 24 часа он проводит в компании своих родных, друзей, деловых партнеров и любимой девушки Натурель.\n\nМонти, мечтавший в свое время стать пожарным, но в итоге ступивший на роковую стезю наркодилера, прощается с прошлым и пытается переосмыслить свою жизнь...	Наркоторговец проводит с друзьями последние сутки перед тюрьмой. Драма Спайка Ли по книге Дэвида Бениоффа	1	2	2024-02-29 09:16:55.239837	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:17:59.755054	\N
23	700	tt0242527	Яма	The Hole	/static/media/images/2001/700/postr-2024-04-13-21-17-46.jpg	iama-23	10	8	20	4	22	Правда будет похоронена только если они не выживут	Четверо студентов престижной английской школы решили устроить особенную вечеринку и выбрали для этого бункер времен войны. Бросив вызов родителям, школе, обыденной жизни и самим себе, они спускаются в зловещие катакомбы, чтобы подвергнуть свой разум, свои чувства шокирующим приключениям.	\N	1	2	2024-02-29 08:59:00.824404	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:18:05.16727	\N
24	321	tt0253754	Звездный путь: Возмездие	Star Trek: Nemesis	/static/media/images/2002/321/postr-2024-04-13-21-18-09.jpg	zvezdnyi-put-vozmezdie-24	7	19	21	3	23	Последнее путешествие поколения начинается...	После свадьбы командира Уильяма Райкера и советника Дианы Трой экипаж корабля «Энтерпрайз» обнаруживает позитронный сигнал на одной из планет около нейтральной зоны, где они находят B-4 — менее совершенный, чем Дейта, прототип андроида, созданного доктором Сунгом.\n\nЭта загадка остается неразгаданной, так как в то же время адмирал Джейнвей приказывает «Энтерпрайзу» отправиться к Ромулу, где сенат был свергнут в результате государственного переворота Шинзоном и его последователями. По прибытии на Ромул «Энтерпрайз» обнаруживает не только самый мощный из всех встреченных ими кораблей, но и страшную тайну, касающуюся нового лидера Ромуланской империи, который планирует использовать смертельное оружие для уничтожения всего живого на главной планете Федерации — Земле.	Клон капитана Пикара намерен уничтожить Землю с помощью супероружия. В роли злодея Шинзона — Том Харди	1	1	2024-02-28 18:08:10.519206	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:18:27.016588	\N
36	327	tt0071562	Крестный отец 2	The Godfather: Part II	/static/media/images/1974/327/postr-2024-04-13-21-20-48.jpg	krestnyi-otets-2-36	4	27	29	9	30	All the power on earth can't change destiny.	Для дона Корлеоне и его сына не существует моральных преград на пути к достижению целей. Они превращают мафию, построенную по патриархальным сицилийским законам, в весьма прагматичную, жесткую корпорацию, плавно интегрируя её в большой бизнес Америки.	Юность Вито Корлеоне и первые шаги его сына Майкла во главе клана — сразу и приквел, и сиквел. Шесть «Оскаров»	1	2	2024-02-29 07:44:28.943005	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:21:05.823247	\N
25	701	tt0278823	Голливудский финал	Hollywood Ending	/static/media/images/2002/701/postr-2024-04-13-21-18-14.jpg	gollivudskii-final-25	11	20	22	3	11	It's Going to be a Shot in the Dark!	Для съемок нового суперхита боссы крупной киностудии нанимают капризного и непредсказуемого Вэла Ваксмана. Это подарок судьбы для всеми забытого обладателя двух «Оскаров», докатившегося до съемок рекламы. Вэл не хочет упустить шанс напомнить Голливуду о себе. Но вскоре из-за перенапряжения его поражает редкий недуг - истерическая слепота.\n\nТеперь несчастному гению придется во всем положиться на помощь верных друзей. Чтобы любой ценой убедить работодателей, что его зрение так же остро. Как и его оригинальное творческое видение. Никто не знает, что ждет Вэла - фурор или провал, ведь еще никто не ставил столь рискованный эксперимент, снимая фильм вслепую!	Своенравный режиссер теряет зрение, но не отказывается от съемок фильма. Метафорическая комедия Вуди Аллена	1	2	2024-03-19 11:59:59.111778	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:18:33.081833	\N
26	322	tt0304141	Гарри Поттер и узник Азкабана	Harry Potter and the Prisoner of Azkaban	/static/media/images/2004/322/postr-2024-04-13-21-18-37.jpg	garri-potter-i-uznik-azkabana-26	17	21	23	5	24	Всё изменится	В третьей части истории о юном волшебнике полюбившиеся всем герои — Гарри Поттер, Рон и Гермиона — возвращаются уже на третий курс школы чародейства и волшебства Хогвартс. На этот раз они должны раскрыть тайну узника, сбежавшего из зловещей тюрьмы Азкабан, чье пребывание на воле создает для Гарри смертельную опасность...	Беглый маг, тайны прошлого и путешествия во времени. В третьей части поттерианы Альфонсо Куарон сгущает краски	1	1	2024-02-28 17:52:17.216115	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:18:55.124473	\N
27	702	tt0274558	Часы	The Hours	/static/media/images/2002/702/postr-2024-04-13-21-18-42.jpg	chasy-27	1	22	1	3	25	The time to hide is over. The time to regret is gone. The time to live is now	Писательница Вирджиния Вулф работает над романом «Миссис Дэллоуэй», и её терзают мысли о самоубийстве. Лара Браун, молодая жена и мать, задыхается в рамках своей опрятной жизни в Лос-Анджелесе 1951 года. А Кларисса Вон устраивает вечеринку в Нью-Йорке начала 2000-х годов для близкого друга Ричарда, умирающего от СПИДа.	День из жизни женщин, связанных книгой Вирджинии Вулф. В роли самой писательницы — неузнаваемая Николь Кидман	1	2	2024-02-29 09:15:03.488558	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:19:00.633463	\N
28	323	tt0322259	Двойной форсаж	2 Fast 2 Furious	/static/media/images/2003/323/postr-2024-04-13-21-19-04.jpg	dvoinoi-forsazh-28	6	23	24	1	19	Какую скорость ты выдержишь?	Бывший полицейский Брайан О`Коннер с напарником Романом Пирсом собирается перевезти крупную сумму грязных денег известного мафиози Картера Верона. Но на самом деле эта работа является только прикрытием для Брайана, который вместе с тайным агентом Моникой Фуэнтес должен уличить изворотливого преступника.	Брайан и Роман по заданию ФБР разоблачают крупного драгдилера. Стильный сиквел с крутыми тачками и Евой Мендес	1	1	2024-02-29 05:20:55.97296	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:19:20.539247	\N
29	703	tt0200720	Обитель радости	The House of Mirth	/static/media/images/2000/703/postr-2024-04-13-21-19-09.jpg	obitel-radosti-29	6	6	25	6	21	When a woman has the beauty men admire and women envy...it is wise to tread carefully.	Нью-Йорк, начало 20-го века. Лили Барт, привлекательная девушка, занимающая видное место в обществе, сталкивается с обратной стороной успеха - ее красота и очарование вызывают нездоровый интерес и зависть. Пока Лили подыскивает себе богатого мужа, чтобы соответствовать ожиданиям общества, она упускает настоящую любовь.	\N	1	\N	2024-03-19 18:04:46.832493	\N	\N	\N	\N	\N	\N	\N	\N	1	2024-04-13 21:19:25.718891	\N
